Key Num,Block Num
107747800776447, 0
281893266153982, 1
27304176570925056, 2
27414552918647293, 3
27694930021278464, 4
27864929155441765, 5
27978164313718528, 6
28427191897317729, 7
28535626926350691, 8
71324640712457985, 9
71776120711833086, 10
71778309484406117, 11
72056483302407677, 12
72337288264114531, 13
72446157068303973, 14
99467323685037565, 15
99643679343469409, 16
100033556660839934, 17
100206191243977470, 18
143272300710355200, 19
143662185013510655, 20
143834144263463681, 21
143944091131142753, 22
6989697661146300261, 23
6990147797777383934, 24
7017001840310878463, 25
7017450434116019709, 26
7017562601481789950, 27
7018295961225356032, 28
7061078394097788258, 29
7061080587148590847, 30
7061190113069432677, 31
7061362742374169856, 32
7061751965222461794, 33
7062206059263163904, 34
7089336946748515682, 35
7089510234133102591, 36
7089902099969892705, 37
7090185327333434109, 38
7133251007387008256, 39
7133700705981759841, 40
7134093669685854718, 41
7161395213401679104, 42
7161566732920906495, 43
7161674911939691005, 44
7161849732650893155, 45
7162237443603497215, 46
7205026459067310946, 47
7205476150706136063, 48
7206039779291260259, 49
7206321249946042621, 50
7233341079821614593, 51
7233451029356962049, 52
7233904025513491966, 53
7234017949510754816, 54
7234188799008400382, 55
7277081421917545214, 56
7277255581180519423, 57
7277533759300264959, 58
7277924077328007012, 59
7278209532054823169, 60
7305229351719469410, 61
7305401966461739364, 62
7305509293399368293, 63
7305790764047598078, 64
7305962717408617981, 65
7305966030449212927, 66
7306074442392953697, 67
7306245972172800099, 68
7306357450666540387, 69
7349309878317548031, 70
7349589824312967678, 71
7349701300178805757, 72
18230854291252313853, 73
18258154732895953407, 74
18258438836419715583, 75
18258717008522772736, 76
18259280635420304382, 77
18301893741868350817, 78
18302176982076424449, 79
18302630416353288701, 80
18302907493273199971, 81
18330042997875343201, 82
18330496009540560129, 83
18330774179942825825, 84
18330887422728143202, 85
18331164948979384318, 86
18373842488516240741, 87
18374121323765956094, 88
18374403223951048193, 89
18374513186304033124, 90
18374965761587503616, 91
18375077898882016255, 92
18402267730488197374, 93
18402553593277381986, 94
18402835512323735805, 95
18403113671558627428, 96
18445900084204888417, 97
18446011794636799743, 98
18446459721104752384, 99
