x_start,slope,y
1,0.00205553,-0.00205553
884,0.00217752,0.0750024
1840,0.00155507,1.13784
2957,0.00133835,2.04209
4156,0.00272838,-3.34017
5153,0.00315824,-6.27621
6151,0.00184995,0.620625
7103,0.00190864,0.441149
8001,0.00249316,-3.9502
8853,0.00232765,-2.60776
9567,0.00175636,3.19647
10741,0.00256332,-5.53276
11542,0,24
